C9608532153343, Mohammad, mohammad739@outlook.com, 10, 1, Jerusalem, Unemployed family
C8478245769712, Laila, laila765@yahoo.com, 10, 1, Jerusalem, Widowed mother
C8162380711390, Hassan, hassan780@yahoo.com, 10, 1, Jerusalem, Recent house fire
C9631895532946, Hassan, hassan32@outlook.com, 10, 1, Jerusalem, Low income family
C6307785802910, Laila, laila627@gmail.com, 10, 1, Jerusalem, Child with disability
C2672543334340, Yousef, yousef983@gmail.com, 10, 1, Jerusalem, Low income family
C7550362213897, Fadi, fadi725@yahoo.com, 10, 1, Jerusalem, Low income family
C3374778754561, Sara, sara808@hotmail.com, 10, 1, Jerusalem, Unemployed family
C9070905124239, Laila, laila209@gmail.com, 10, 1, Jerusalem, Unemployed family
C7815185109896, Khalid, khalid896@hotmail.com, 10, 1, Jerusalem, Medical condition in family
C7854078348774, Omar, omar209@gmail.com, 10, 1, West Jerusalem, Child with disability
C3313884678535, Ahmed, ahmed507@gmail.com, 10, 1, West Jerusalem, Parent recovering from surgery
C1012654214350, Hassan, hassan254@outlook.com, 10, 1, West Jerusalem, Single parent household
C9994387769866, Fatima, fatima961@hotmail.com, 10, 1, West Jerusalem, Unemployed family
C6634329961815, Laila, laila822@hotmail.com, 10, 1, West Jerusalem, Recent house fire
C3202410155847, Fadi, fadi510@gmail.com, 10, 1, West Jerusalem, Lost job due to crisis
C4179301340381, Omar, omar937@gmail.com, 10, 1, West Jerusalem, Medical condition in family
C3531983678321, Khalid, khalid620@outlook.com, 10, 1, West Jerusalem, Child with disability
C4699711655346, Amina, amina450@gmail.com, 10, 1, West Jerusalem, Single parent household
C6332667220877, Sara, sara573@hotmail.com, 10, 1, West Jerusalem, Recent house fire
C2134939912129, Amina, amina60@outlook.com, 10, 1, West Jerusalem, Child with disability
C6153470424556, Yousef, yousef951@yahoo.com, 10, 1, West Jerusalem, Child with disability
C2582393942773, Fatima, fatima595@outlook.com, 10, 1, West Jerusalem, Widowed mother
C8563368967716, Khalid, khalid950@hotmail.com, 10, 1, West Jerusalem, Child with disability
C4395035704802, Amina, amina736@yahoo.com, 10, 1, East Jerusalem, Unemployed family
